"Qty";"Value";"Device";"Package";"Parts";"Description";"BOM";"MANUFACTURER";"PARTNO";"SIZE";"TP_SIGNAL_NAME";
"1";"";"SMD-DIODE-SCHOTTKYDO-214AC";"SMA-DO214AC";"D3";"Schottky diode, 40V, 5A, DO-214";"";"Comchip Technologies";"CDBA540-HF";"";"";
"1";"";"WS2812B3535";"LED3535";"D2";"SMART LED, 3.5MM";"";"Worldsemi";"WS2812B-Mini";"";"";
"7";"1.8K";"RES-SMD-0603";"0603";"R11, R12, R13, R14, R18, R19, R20";"SMD RESISTOR, 0603";"";"";"";"";"";
"1";"1.96K";"RES-SMD-0603";"0603";"R2";"SMD RESISTOR, 0603";"";"";"";"";"";
"1";"10.2K";"RES-SMD-0603";"0603";"R3";"SMD RESISTOR, 0603";"";"";"";"";"";
"1";"100k";"RES-SMD-0603";"0603";"R5";"SMD RESISTOR, 0603";"";"";"";"";"";
"9";"100nF";"CAP-CERAMIC-SMD0603";"0603";"C5, C11, C12, C13, C14, C15, C16, C19, C20";"CAP CERAMIC, SMD";"";"";"";"";"";
"2";"10nF";"CAP-CERAMIC-SMD0603";"0603";"C4, C18";"CAP CERAMIC, SMD";"";"";"";"";"";
"2";"10uF";"CAP-CERAMIC-SMD0805";"0805";"C3, C21";"CAP CERAMIC, SMD";"";"";"";"";"";
"5";"1K";"RES-SMD-0603";"0603";"R4, R10, R15, R16, R17";"SMD RESISTOR, 0603";"";"";"";"";"";
"1";"1K";"SMD-RES-1.8K-1%-1/10W(0603)";"0603";"R9";"SMD RESISTOR, 0603";"";"";"";"";"";
"1";"1uF";"CAP-CERAMIC-SMD0603";"0603";"C10";"CAP CERAMIC, SMD";"";"";"";"";"";
"2";"2.2nF";"CAP-CERAMIC-SMD0603";"0603";"C8, C17";"CAP CERAMIC, SMD";"";"";"";"";"";
"2";"220uF";"CAP-POL-SMD-8X10.5";"CAP-8X10.5";"C1, C2";"AL CAPACITOR, SMD";"";"Semtech";"CK1V221MCRF10 ";"";"";
"3";"22k";"RES-SMD-0603";"0603";"R6, R7, R8";"SMD RESISTOR, 0603";"";"";"";"";"";
"1";"22pF";"CAP-CERAMIC-SMD0603";"0603";"C9";"CAP CERAMIC, SMD";"";"";"";"";"";
"1";"330";"RES-SMD-0603";"0603";"R21";"SMD RESISTOR, 0603";"";"";"";"";"";
"1";"330R-1500MA";"SMD-FERRITE-BEAD-330R-1500MA(0805)";"0805";"FB";"Ferrite Bead";"";"MURATA ELECTRONICS";"BLM21PG331SN1D";"";"";
"1";"37.4K";"RES-SMD-0603";"0603";"R1";"SMD RESISTOR, 0603";"";"";"";"";"";
"1";"4.7uH";"IND-TDK-SPM6530T";"IND_TDK_7.1X6.5";"L1";"Power inductor, SMD, 4.7uH, 5.2A";"";"TDK";"SPM6530T-4R7M ";"";"";
"2";"47uF";"CAP-CERAMIC-SMD1206";"1206";"C6, C7";"CAP CERAMIC, SMD";"";"";"";"";"";
"1";"74AHCT1G125DBV";"74AHCT1G125DBV";"SOT23-5";"U7";"Single Bus Buffer Gate with 3-State Output";"";"";"SN74AHCT1G125DBVR";"";"";
"1";"ATSAMD21G";"ATSAMD21G";"TQFP-48-EDITED";"U1";"SAMD21G MCU";"";"Microchip Technology";"ATSAMD21G18A-AU";"";"";
"1";"BM04B-SRSS-TB(LF)(SN)";"BM04B-SRSS-TB(LF)(SN)";"CONN_BM04B-SRSS-TB(LF)(SN)";"J16";"HEADER, JST SH 4POS SMD STRAIGHT";"";"JST";"BM04B-SRSS-TB_LF__SN_";"";"";
"1";"DF13-4P-1.25DSA";"DF13-4P-1.25DSA";"DF13-4P-1.25DSA";"J14";"DF13-4P";"";"";"DF13-4P-1.25DSA";"";"";
"1";"DF13-6P-1.25DSA";"DF13-6P-1.25DSA";"DF13-6P-1.25DSA";"J15";"DF13-6P";"";"";"DF13-6P-1.25DSA";"";"";
"2";"DRV8871";"DRV8871";"HSOP8";"U5, U6";"DRV8871 - 3.6A PWM Motor Driver";"";"TEXAS INSTRUMENTS";"DRV8871DDAR";"HSOP8";"";
"3";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"U$11, U$13, U$17";"For use by pick and place machines to calibrate the vision/machine, 1mm";"EXCLUDE";"";"";"";"";
"2";"FRAME-LETTERNO_PACKAGE";"FRAME-LETTERNO_PACKAGE";"DUMMY";"FRAME1, FRAME2";"Schematic Frame - Letter";"EXCLUDE";"";"";"";"";
"1";"GREEN";"SMD-LED-0805";"LED-0805";"D1";"SMD LED, 0805";"";"LITE-ON";"LTST-C170KGKT ";"";"";
"1";"HEADER-2X12";"HEADER-2X12";"2X12";"J13";"HEADER, 2x12, 0.1" PITCH";"";"CONNFLY Elec ";"DS1023-2*12SF11 ";"";"";
"1";"HEADER-2X16";"HEADER-2X16";"2X16";"J12";"HEADER - 2x16, 0.1" PITCH";"";"CONNFLY Elec ";"DS1023-2*16SF11 ";"";"";
"1";"HEADER-3X04";"HEADER-3X04";"3X04";"J10";"";"";"";"";"";"";
"1";"HEADER-3X06"";"HEADER-3X06"";"3X06";"J11";"";"";"";"";"";"";
"1";"HEADER-PH-3P";"HEADER-PH-3P";"B3B-PH-K";"J9";"HEADER, JST PH, 3POS, THROUGH HOLE, STRAIGHT";"";"JST";"B3B-PH-K-S(LF)(SN)";"";"";
"5";"HEADER-PH-4P";"HEADER-PH-4P";"B4B-PH-K";"J4, J5, J6, J7, J8";"HEADER, JST PH, 4POS, THROUGH HOLE, STRAIGHT";"";"JST";"B4B-PH-K-S(LF)(SN)";"";"";
"2";"HEADER-VH";"HEADER-VH";"B2P-VH";"J2, J3";"HEADER - JST VH, 2P";"";"";"B2P-VH(LF)(SN)  ";"";"";
"1";"ICM-42605";"ICM-42605";"PQFN50P300X250X97-14N";"U4";"Single-Interface MotionTracking device The ICM-42605 is a 6-axis MotionTracking device that combines a 3-axis gyroscope, and a 3-axis accelerometer in a small 2.5x3x0.91";"";"TDK InvenSense";"ICM-42605";"";"";
"1";"MICRO-USB-SMD-B-(10118193-0001LF)";"MICRO-USB-SMD-B-(10118193-0001LF)";"MICRO-USB5+6P-SMD-0.65-B";"USB1";"Micro USB connector, 5 pin";"";"Amphenol ICC";"10118193-0001LF";"";"";
"8";"MOUNTINGHOLE3.0_NPH";"MOUNTINGHOLE3.0_NPH";"MOUNTINGHOLE_3.0_NPH";"U$3, U$4, U$14, U$15, U$24, U$25, U$26, U$27";"Mounting Hole";"EXCLUDE";"";"";"";"";
"1";"PMIC-AZ1117EH-3.3";"PMIC-AZ1117EH-3.3";"SOT223";"U3";"LDO VOLTAGE REGULATOR";"";"DIODES INC";"AZ1117EH-3.3TRG1";"";"";
"1";"SW-TACTILE-4.5X4.5_SMD";"SW-TACTILE-4.5X4.5_SMD";"TL3305";"SW1";"Tactile Switch, 4.5*4.5 mm SMD";"";"BRIGHT";"TSA453G38-250 ";"";"";
"1";"TPS54531";"TPS54531";"HSOP8";"U2";"Switching Voltage Regulator";"";"TEXAS INSTRUMENTS";"TPS54531";"";"";
"5";"TPTP15R";"TPTP15R";"TP15R";"TP1, TP2, TP3, TP4, TP5";"Test pad";"EXCLUDE";"";"";"";"";
"1";"XT30UPB-M";"XT30UPB-M";"XT30UPB-M";"J1";"AMASS XT30 connector";"";"";"";"";"";
